bill_id,date,customer_name,city,phone_number,product_name,category,quantity,price_per_unit,total_amount
1809,22-07-2022,Kristen Young,Jaipur,9.16153E+11,Sugar,Grocery,10,30,300
2177,03-12-2022,Daniel Anderson,Chennai,9.11453E+11,Tea,Grocery,10,100,1000
5460,08-03-2023,Jeffrey Ruiz,Pune,9.16187E+11,Hair Spray,Cosmetics,5,230,1150
3983,22-09-2022,Kimberly Green,Mumbai,9.13711E+11,Shampoo,Beauty,7,40,280
7134,29-12-2022,Mr. Ray Carson MD,Chennai,9.14948E+11,Body Lotion,Cosmetics,2,200,400
4526,26-11-2022,Mark Anderson,Lucknow,9.15586E+11,Lipstick,Beauty,1,40,40
7072,02-03-2022,Patricia Vega,Delhi,9.17505E+11,Mazaa,Cold Drink,8,20,160
2744,01-10-2022,Justin Knight,Lucknow,9.12572E+11,Rice,Grocery,1,100,100
5587,29-05-2022,Angela Garcia,Lucknow,9.10516E+11,Tea,Grocery,5,100,500
1540,29-09-2023,Anthony Hudson,Mumbai,9.18279E+11,Face Cream,Cosmetics,5,100,500
1519,12-11-2023,Sonya Allen,Pune,9.18383E+11,Bath Soap,Cosmetics,2,80,160
6474,23-05-2023,Deanna Kelley,Chennai,9.13981E+11,Shampoo,Beauty,6,40,240
7766,16-05-2023,Benjamin Turner,Delhi,9.14038E+11,Sprite,Cold Drink,7,30,210
3591,07-01-2023,Christopher Martinez,Pune,9.10135E+11,Sugar,Grocery,10,30,300
5166,03-04-2023,Tina Ramirez,Bangalore,9.17485E+11,Hair Spray,Cosmetics,10,230,2300
9743,24-05-2023,Jessica Hansen,Lucknow,9.19723E+11,Body Lotion,Cosmetics,1,200,200
4109,15-02-2022,Lori Johnson,Bangalore,9.10072E+11,Hair Spray,Cosmetics,9,230,2070
3224,13-11-2023,Robert Smith,Lucknow,9.1769E+11,Face Cream,Cosmetics,9,100,900
3815,27-10-2022,Samuel Bass,Hyderabad,9.12624E+11,Sprite,Cold Drink,8,30,240
4919,04-12-2023,Kelly Hunter,Jaipur,9.1198E+11,Wheat,Grocery,1,120,120
2129,06-09-2023,Anthony Bowman,Chennai,9.19944E+11,Hair Spray,Cosmetics,8,230,1840
7667,28-09-2022,Molly Webb,Hyderabad,9.14644E+11,Rice,Grocery,10,100,1000
6010,23-11-2022,Robert Smith,Hyderabad,9.1654E+11,Wheat,Grocery,1,120,120
8775,19-10-2022,Samantha King,Jaipur,9.14625E+11,Frooti,Cold Drink,2,30,60
9007,10-01-2022,Noah Vaughan MD,Hyderabad,9.15922E+11,Lipstick,Beauty,10,40,400
1218,16-05-2022,Ashley Kim,Kolkata,9.14084E+11,Bath Soap,Cosmetics,7,80,560
3919,01-09-2022,Hannah Lane,Delhi,9.1788E+11,Perfume,Beauty,5,80,400
7563,16-05-2022,Jennifer Graves,Jaipur,9.17401E+11,Sprite,Cold Drink,7,30,210
7927,27-09-2022,Karen Rivera,Mumbai,9.17782E+11,Lipstick,Beauty,1,40,40
2636,10-02-2023,David White,Delhi,9.10622E+11,Sugar,Grocery,6,30,180
6509,04-11-2022,Scott Berry,Bangalore,9.10162E+11,Perfume,Beauty,4,80,320
4355,24-04-2022,Jeffrey Terry,Ahmedabad,9.16774E+11,Sugar,Grocery,4,30,120
1723,15-01-2023,Carol Cabrera,Mumbai,9.15771E+11,Lipstick,Beauty,8,40,320
1132,29-12-2022,Mr. Joseph Warren,Ahmedabad,9.11328E+11,Sugar,Grocery,3,30,90
1810,26-10-2022,Kathryn Cohen,Bangalore,9.13013E+11,Perfume,Beauty,8,80,640
5779,20-10-2022,Mr. Scott Mullins,Hyderabad,9.14183E+11,Rice,Grocery,2,100,200
5985,19-11-2022,David Brown,Delhi,9.15366E+11,Rice,Grocery,10,100,1000
7273,14-06-2023,Jessica King,Lucknow,9.12371E+11,Coca-Cola,Cold Drink,5,40,200
7462,30-10-2023,David Ferrell,Pune,9.10636E+11,Hair Spray,Cosmetics,3,230,690
1238,09-05-2022,Kevin Lane,Mumbai,9.10622E+11,Shampoo,Beauty,8,40,320
6375,31-05-2022,Jean Robertson,Delhi,9.18184E+11,Frooti,Cold Drink,4,30,120
8392,26-12-2022,Thomas Johnson,Hyderabad,9.10622E+11,Lipstick,Beauty,9,40,360
9806,18-02-2022,Robert Haynes,Hyderabad,9.10226E+11,Daal,Grocery,3,130,390
2702,31-03-2022,Jean Rojas DVM,Chennai,9.17701E+11,Daal,Grocery,1,130,130
7599,25-03-2022,Mrs. Julie Glenn,Chennai,9.10303E+11,Hair Spray,Cosmetics,9,230,2070
8043,28-02-2022,Alex Tyler,Lucknow,9.16736E+11,Shampoo,Beauty,10,40,400
9999,18-02-2023,Megan Brown,Hyderabad,9.12565E+11,Coca-Cola,Cold Drink,10,40,400
1072,02-12-2023,Stephanie Mathews,Delhi,9.10574E+11,Face Cream,Cosmetics,5,100,500
5152,04-07-2023,Mr. Charles Garrison,Jaipur,9.13418E+11,Frooti,Cold Drink,3,30,90
3391,19-05-2022,Michael Jordan,Hyderabad,9.1539E+11,Tea,Grocery,9,100,900
9871,16-04-2023,Courtney Gilmore,Ahmedabad,9.17034E+11,Coca-Cola,Cold Drink,6,40,240
8091,11-01-2022,Derek Hernandez,Bangalore,9.12305E+11,Face Cream,Cosmetics,5,100,500
2100,10-05-2022,Barbara Johnston,Bangalore,9.12555E+11,Daal,Grocery,2,130,260
2033,12-02-2023,April Wood,Kolkata,9.14309E+11,Hair Gel,Cosmetics,9,150,1350
5250,25-12-2023,Erica Walker,Ahmedabad,9.19669E+11,Sprite,Cold Drink,4,30,120
6841,22-02-2023,Sharon Price,Kolkata,9.11792E+11,Sprite,Cold Drink,8,30,240
7949,30-01-2023,Martha Rodgers,Lucknow,9.17455E+11,Mazaa,Cold Drink,6,20,120
5235,13-08-2022,James Cox,Kolkata,9.1605E+11,Tea,Grocery,9,100,900
1968,11-07-2023,Julie Cortez,Chennai,9.17188E+11,Tea,Grocery,10,100,1000
6171,07-01-2023,Scott Hunt,Lucknow,9.13093E+11,Pepsi,Cold Drink,5,20,100
2167,20-07-2022,Richard Lambert,Mumbai,9.17076E+11,Rice,Grocery,8,100,800
4582,14-05-2022,Julie Brown,Ahmedabad,9.13974E+11,Daal,Grocery,4,130,520
8241,13-02-2022,Cynthia Rodriguez,Bangalore,9.11882E+11,Rice,Grocery,1,100,100
8776,23-08-2022,Michael Johnson,Jaipur,9.19077E+11,Perfume,Beauty,4,80,320
8426,21-02-2023,Maria Combs,Kolkata,9.17858E+11,Sugar,Grocery,7,30,210
5023,23-09-2022,Stephanie Marshall,Lucknow,9.11061E+11,Mazaa,Cold Drink,3,20,60
2607,09-06-2022,Zachary Miller,Bangalore,9.16104E+11,Hair Spray,Cosmetics,4,230,920
1950,07-11-2022,Tonya Morton,Hyderabad,9.19459E+11,Coca-Cola,Cold Drink,5,40,200
7524,22-07-2023,Rachel Lee,Chennai,9.10748E+11,Tea,Grocery,1,100,100
5159,03-01-2022,Jacqueline Johnson,Jaipur,9.18123E+11,Coca-Cola,Cold Drink,3,40,120
7226,18-10-2023,Victor Ellis,Hyderabad,9.13692E+11,Tea,Grocery,1,100,100
3150,19-10-2022,Molly Garcia,Delhi,9.11224E+11,Shampoo,Beauty,6,40,240
5423,28-04-2022,Gene Smith,Kolkata,9.16579E+11,Bath Soap,Cosmetics,9,80,720
7272,14-05-2022,Robert Williams,Lucknow,9.1608E+11,Shampoo,Beauty,10,40,400
1420,21-06-2022,Shannon Webster,Ahmedabad,9.18388E+11,Wheat,Grocery,5,120,600
6088,18-10-2022,Christina Martinez,Jaipur,9.10814E+11,Coca-Cola,Cold Drink,8,40,320
8314,26-07-2022,George Patrick,Ahmedabad,9.15028E+11,Sugar,Grocery,2,30,60
9813,20-10-2023,Aaron White,Jaipur,9.12781E+11,Sugar,Grocery,3,30,90
3451,09-08-2022,William Sullivan,Lucknow,9.15892E+11,Shampoo,Beauty,5,40,200
8214,29-04-2022,Michael Roman,Lucknow,9.18363E+11,Coca-Cola,Cold Drink,8,40,320
8714,03-07-2022,Laura Boyd,Delhi,9.13612E+11,Shampoo,Beauty,3,40,120
2170,28-06-2023,John Mann,Hyderabad,9.13996E+11,Body Lotion,Cosmetics,7,200,1400
6251,07-11-2023,David Mathews,Ahmedabad,9.10219E+11,Perfume,Beauty,4,80,320
6919,13-01-2022,Michelle Roberts,Lucknow,9.16698E+11,Frooti,Cold Drink,10,30,300
8250,19-12-2022,Jordan Hayes,Kolkata,9.15144E+11,Hair Gel,Cosmetics,9,150,1350
6045,29-03-2022,Dennis Vaughan,Jaipur,9.14966E+11,Pepsi,Cold Drink,7,20,140
9488,01-04-2023,Colin Edwards,Kolkata,9.19066E+11,Body Lotion,Cosmetics,10,200,2000
2294,10-08-2023,Joseph Rodriguez,Mumbai,9.15701E+11,Perfume,Beauty,1,80,80
4443,19-05-2023,Donna Gordon,Chennai,9.13677E+11,Lipstick,Beauty,9,40,360
3659,08-10-2022,Kathryn Wright,Chennai,9.10785E+11,Sprite,Cold Drink,9,30,270
9219,07-07-2023,Katie Watson,Kolkata,9.19848E+11,Shampoo,Beauty,6,40,240
8466,07-02-2023,Colin Adkins,Delhi,9.11988E+11,Face Cream,Cosmetics,2,100,200
1443,13-01-2022,Joseph Johnston,Delhi,9.11845E+11,Shampoo,Beauty,10,40,400
3435,15-07-2023,Robert Kennedy,Jaipur,9.10699E+11,Perfume,Beauty,6,80,480
4553,25-03-2023,Rhonda Johnson,Ahmedabad,9.1875E+11,Mazaa,Cold Drink,10,20,200
3679,22-10-2022,Mary Murphy,Jaipur,9.1824E+11,Hair Spray,Cosmetics,7,230,1610
3263,24-05-2022,Michele Coleman,Ahmedabad,9.19326E+11,Hair Spray,Cosmetics,1,230,230
6311,16-04-2022,Sabrina Bailey,Bangalore,9.15493E+11,Perfume,Beauty,1,80,80
8224,07-10-2023,Lauren Carpenter,Delhi,9.1146E+11,Lipstick,Beauty,5,40,200
8779,11-03-2023,Jacqueline Adams,Pune,9.11455E+11,Bath Soap,Cosmetics,9,80,720
5594,11-02-2023,Leslie Bridges MD,Pune,9.19233E+11,Perfume,Beauty,10,80,800
5680,15-09-2023,Jared Reed,Lucknow,9.19299E+11,Shampoo,Beauty,1,40,40
3218,27-03-2023,George Lee,Mumbai,9.1983E+11,Pepsi,Cold Drink,4,20,80
8689,20-05-2022,Kaitlyn Cooper,Lucknow,9.19418E+11,Shampoo,Beauty,4,40,160
7681,14-12-2023,Mary Vasquez,Pune,9.17458E+11,Lipstick,Beauty,7,40,280
5118,09-06-2022,Robin Morris,Jaipur,9.13226E+11,Hair Gel,Cosmetics,9,150,1350
5130,20-09-2023,Christopher Fletcher,Ahmedabad,9.10421E+11,Bath Soap,Cosmetics,4,80,320
2619,28-11-2023,Jessica Schroeder,Mumbai,9.10978E+11,Mazaa,Cold Drink,5,20,100
1098,25-07-2022,Kaylee Taylor,Kolkata,9.18836E+11,Rice,Grocery,10,100,1000
8957,04-09-2023,Mary Brown,Bangalore,9.12477E+11,Lipstick,Beauty,1,40,40
5096,24-11-2022,Daniel Chapman,Hyderabad,9.10147E+11,Pepsi,Cold Drink,4,20,80
4345,19-02-2023,Kendra Bryan,Lucknow,9.1181E+11,Sprite,Cold Drink,5,30,150
5863,26-01-2023,Joanne Fuller,Delhi,9.19885E+11,Hair Spray,Cosmetics,3,230,690
2163,19-07-2023,Zachary Maxwell,Delhi,9.16166E+11,Lipstick,Beauty,10,40,400
2794,15-05-2023,James Bennett,Ahmedabad,9.14975E+11,Lipstick,Beauty,3,40,120
6075,03-04-2023,Courtney Ali,Ahmedabad,9.13414E+11,Face Cream,Cosmetics,2,100,200
8963,01-12-2022,Rebecca Bowen,Mumbai,9.10424E+11,Body Lotion,Cosmetics,9,200,1800
8320,26-01-2023,Joshua Sandoval,Chennai,9.18999E+11,Pepsi,Cold Drink,7,20,140
7357,26-03-2022,Bryce Rodriguez,Pune,9.11325E+11,Daal,Grocery,10,130,1300
2484,27-10-2022,Nicholas Lynch,Bangalore,9.18258E+11,Wheat,Grocery,7,120,840
4092,11-01-2022,Maria Yates,Mumbai,9.17871E+11,Sugar,Grocery,4,30,120
1564,15-11-2022,Lisa Gaines,Pune,9.11734E+11,Shampoo,Beauty,10,40,400
3015,25-08-2022,Sarah Yang,Pune,9.14193E+11,Bath Soap,Cosmetics,10,80,800
8301,28-05-2022,Steven Martinez,Mumbai,9.17346E+11,Body Lotion,Cosmetics,10,200,2000
6874,07-08-2022,Zachary Johnson,Lucknow,9.13142E+11,Wheat,Grocery,6,120,720
4575,05-12-2023,Casey Mcdonald,Pune,9.11564E+11,Perfume,Beauty,4,80,320
2590,14-05-2023,Jeremiah Martinez,Jaipur,9.10416E+11,Shampoo,Beauty,8,40,320
7260,17-06-2023,Stephanie Crosby,Mumbai,9.18263E+11,Sprite,Cold Drink,7,30,210
5843,05-03-2023,Elizabeth Morris,Delhi,9.16808E+11,Hair Gel,Cosmetics,10,150,1500
1426,12-07-2023,Michael Davis,Pune,9.18316E+11,Tea,Grocery,7,100,700
3881,07-02-2022,Lauren Thompson,Chennai,9.17476E+11,Wheat,Grocery,4,120,480
9016,03-04-2023,David Lawrence,Chennai,9.17395E+11,Pepsi,Cold Drink,2,20,40
2860,23-02-2022,Helen Hoffman,Bangalore,9.19027E+11,Perfume,Beauty,5,80,400
7534,10-02-2023,Thomas Summers,Bangalore,9.19263E+11,Perfume,Beauty,10,80,800
9601,01-09-2022,Heather Graham,Kolkata,9.12829E+11,Shampoo,Beauty,2,40,80
5911,03-08-2023,Mary Griffin,Pune,9.18564E+11,Rice,Grocery,4,100,400
3874,05-03-2023,Lori Taylor,Kolkata,9.1225E+11,Body Lotion,Cosmetics,9,200,1800
9446,01-03-2023,Sarah Morris,Delhi,9.11033E+11,Lipstick,Beauty,4,40,160
7043,13-07-2022,Richard Ramirez,Delhi,9.10897E+11,Sprite,Cold Drink,1,30,30
5230,01-09-2023,Samuel Campbell,Lucknow,9.10174E+11,Body Lotion,Cosmetics,5,200,1000
9264,22-04-2022,Michael Stewart,Delhi,9.17829E+11,Shampoo,Beauty,4,40,160
6021,04-07-2023,Christine Cooper,Pune,9.14683E+11,Wheat,Grocery,6,120,720
9254,16-07-2022,Jennifer Davila,Hyderabad,9.11341E+11,Tea,Grocery,2,100,200
6698,29-06-2023,Eric Macdonald,Ahmedabad,9.19543E+11,Daal,Grocery,5,130,650
6282,26-08-2022,Kenneth Nichols,Chennai,9.1715E+11,Pepsi,Cold Drink,2,20,40
9143,18-09-2023,William Patterson,Chennai,9.14723E+11,Hair Spray,Cosmetics,7,230,1610
5491,03-07-2023,William Bush,Lucknow,9.11215E+11,Shampoo,Beauty,1,40,40
2061,19-12-2023,Vanessa Foster,Delhi,9.11763E+11,Shampoo,Beauty,9,40,360
2321,27-02-2023,Julie Mitchell,Mumbai,9.1581E+11,Bath Soap,Cosmetics,8,80,640
3477,19-03-2022,Jason Fisher,Lucknow,9.16441E+11,Pepsi,Cold Drink,6,20,120
2927,03-02-2022,Robert Hicks,Mumbai,9.18211E+11,Frooti,Cold Drink,1,30,30
3735,24-04-2023,Alex Davis,Delhi,9.14363E+11,Bath Soap,Cosmetics,4,80,320
3215,17-08-2022,Christopher Cowan,Jaipur,9.17535E+11,Hair Gel,Cosmetics,2,150,300
5288,29-04-2023,Kaylee Taylor,Mumbai,9.19446E+11,Bath Soap,Cosmetics,6,80,480
4810,11-07-2023,Michael Gutierrez,Delhi,9.16922E+11,Lipstick,Beauty,2,40,80
1110,14-03-2023,Rebekah Dougherty,Pune,9.17686E+11,Sugar,Grocery,10,30,300
2750,09-05-2023,Justin Waters,Bangalore,9.12961E+11,Tea,Grocery,3,100,300
9854,20-02-2022,Jesse Garcia,Pune,9.16404E+11,Mazaa,Cold Drink,4,20,80
5547,18-01-2023,Joseph Lynch,Hyderabad,9.18993E+11,Mazaa,Cold Drink,1,20,20
1983,29-03-2022,Sarah French,Ahmedabad,9.1827E+11,Bath Soap,Cosmetics,3,80,240
3554,03-04-2022,Matthew Garrett,Bangalore,9.17878E+11,Coca-Cola,Cold Drink,4,40,160
9927,13-05-2022,Caitlyn Summers,Lucknow,9.13296E+11,Hair Gel,Cosmetics,3,150,450
3440,23-05-2022,Robert Huynh,Delhi,9.14134E+11,Coca-Cola,Cold Drink,4,40,160
7901,07-01-2023,James Cross,Jaipur,9.17534E+11,Perfume,Beauty,4,80,320
3003,20-03-2023,Nicholas Caldwell,Lucknow,9.14266E+11,Lipstick,Beauty,5,40,200
4835,04-12-2023,Lori Jackson,Jaipur,9.11859E+11,Hair Spray,Cosmetics,3,230,690
8054,15-05-2023,Lisa Dickson,Pune,9.12727E+11,Frooti,Cold Drink,7,30,210
9345,29-07-2023,Christopher Williams,Chennai,9.18318E+11,Coca-Cola,Cold Drink,9,40,360
4691,25-10-2023,Kyle Williams,Delhi,9.11428E+11,Mazaa,Cold Drink,7,20,140
1728,16-01-2023,Melissa Burns,Kolkata,9.16689E+11,Rice,Grocery,6,100,600
5191,01-05-2022,Eric Moore,Bangalore,9.18269E+11,Lipstick,Beauty,8,40,320
2406,18-03-2022,Alexandra Thompson,Bangalore,9.18227E+11,Body Lotion,Cosmetics,5,200,1000
4643,28-05-2023,Tina Wilson,Jaipur,9.18203E+11,Lipstick,Beauty,7,40,280
8632,13-07-2023,Ruth Davis,Chennai,9.16446E+11,Coca-Cola,Cold Drink,4,40,160
2260,22-02-2023,Barbara Bolton,Kolkata,9.17327E+11,Rice,Grocery,1,100,100
6100,20-05-2023,Gregory Morrison,Delhi,9.12619E+11,Coca-Cola,Cold Drink,5,40,200
2464,23-11-2023,Megan Smith,Lucknow,9.12057E+11,Face Cream,Cosmetics,8,100,800
9157,06-07-2022,Anthony Cox,Kolkata,9.13965E+11,Body Lotion,Cosmetics,9,200,1800
6466,17-10-2022,Heather Allen,Jaipur,9.19889E+11,Mazaa,Cold Drink,4,20,80
5374,04-01-2023,Amy Carter,Hyderabad,9.15315E+11,Body Lotion,Cosmetics,8,200,1600
6401,14-03-2023,Mr. Robert Green,Mumbai,9.1299E+11,Perfume,Beauty,10,80,800
5399,25-07-2023,Jennifer Nunez,Jaipur,9.10913E+11,Mazaa,Cold Drink,6,20,120
5264,14-10-2023,Kevin Hayes,Lucknow,9.14692E+11,Frooti,Cold Drink,1,30,30
2997,18-12-2023,Ashley Sullivan,Hyderabad,9.17601E+11,Daal,Grocery,4,130,520
4340,26-01-2022,Tony Cooper,Kolkata,9.19685E+11,Rice,Grocery,9,100,900
2925,14-03-2022,Jason Harris,Kolkata,9.10855E+11,Perfume,Beauty,1,80,80
5721,19-01-2022,Leonard Wong,Delhi,9.12455E+11,Hair Spray,Cosmetics,10,230,2300
2739,11-07-2022,Heidi Smith,Delhi,9.17681E+11,Sprite,Cold Drink,7,30,210
4837,22-07-2023,William Wilson DDS,Chennai,9.1026E+11,Perfume,Beauty,4,80,320
1966,16-03-2023,Christopher Williams,Chennai,9.16805E+11,Rice,Grocery,6,100,600
2326,22-01-2022,Brittany Peterson,Lucknow,9.14605E+11,Frooti,Cold Drink,8,30,240
9166,15-11-2022,Jaime Mann,Lucknow,9.16738E+11,Shampoo,Beauty,10,40,400
7618,20-03-2022,Dr. Madison Ramirez MD,Pune,9.13641E+11,Perfume,Beauty,2,80,160
2520,04-08-2022,Kevin Taylor,Lucknow,9.17207E+11,Perfume,Beauty,4,80,320
5319,13-08-2022,David Garner,Delhi,9.14245E+11,Body Lotion,Cosmetics,6,200,1200
4375,24-08-2023,Michael Reese,Mumbai,9.17874E+11,Lipstick,Beauty,10,40,400
5455,07-12-2022,Stephanie Davila,Lucknow,9.13223E+11,Hair Spray,Cosmetics,3,230,690
2310,03-01-2022,Michael Jenkins,Ahmedabad,9.1023E+11,Hair Spray,Cosmetics,9,230,2070
5743,15-03-2023,Christopher Gardner,Pune,9.13479E+11,Shampoo,Beauty,9,40,360
6145,24-02-2023,Brianna Bradley,Pune,9.11491E+11,Mazaa,Cold Drink,6,20,120
9829,05-12-2022,David Cole,Lucknow,9.18179E+11,Lipstick,Beauty,9,40,360
5372,04-01-2023,Amanda Mclaughlin,Lucknow,9.10382E+11,Shampoo,Beauty,1,40,40
2748,17-06-2022,Eric Taylor,Kolkata,9.12036E+11,Lipstick,Beauty,7,40,280
3112,04-05-2022,Jeffrey Robinson,Pune,9.18337E+11,Hair Spray,Cosmetics,4,230,920
9272,07-11-2023,Mary Moreno,Pune,9.18555E+11,Face Cream,Cosmetics,8,100,800
7600,16-04-2022,Vincent Alexander,Lucknow,9.14318E+11,Hair Spray,Cosmetics,1,230,230
5994,12-11-2023,Jeffery Brewer,Kolkata,9.16914E+11,Tea,Grocery,3,100,300
1474,03-01-2023,Sandra Johnson,Hyderabad,9.17046E+11,Pepsi,Cold Drink,8,20,160
8108,06-05-2022,Priscilla Ortiz,Chennai,9.19565E+11,Perfume,Beauty,2,80,160
3802,20-05-2022,Raymond Smith,Hyderabad,9.18101E+11,Tea,Grocery,1,100,100
9346,06-06-2022,Joshua Alvarado,Jaipur,9.19117E+11,Rice,Grocery,1,100,100
2796,10-08-2022,Jennifer Howard,Kolkata,9.16802E+11,Mazaa,Cold Drink,4,20,80
2362,12-08-2022,Anthony Fischer,Mumbai,9.18378E+11,Sprite,Cold Drink,6,30,180
8202,08-02-2022,Alicia Roberson,Mumbai,9.19481E+11,Shampoo,Beauty,6,40,240
3887,22-03-2022,Connie Smith,Delhi,9.11456E+11,Hair Gel,Cosmetics,1,150,150
4013,05-05-2022,Jose Warren,Lucknow,9.15995E+11,Body Lotion,Cosmetics,1,200,200
4037,13-09-2022,Jessica Arnold,Ahmedabad,9.15243E+11,Perfume,Beauty,6,80,480
7559,15-03-2023,Tiffany Young,Kolkata,9.15935E+11,Shampoo,Beauty,10,40,400
4735,28-12-2023,Yesenia Rodriguez,Delhi,9.18982E+11,Rice,Grocery,7,100,700
5512,05-01-2023,Allison Butler,Mumbai,9.16588E+11,Tea,Grocery,1,100,100
7314,02-02-2023,Glenn Sosa,Pune,9.19805E+11,Bath Soap,Cosmetics,6,80,480
4909,04-09-2023,James Ross,Mumbai,9.13115E+11,Wheat,Grocery,4,120,480
4132,05-10-2023,Hannah Bishop,Mumbai,9.13881E+11,Lipstick,Beauty,2,40,80
3067,30-03-2022,Hannah Maldonado,Mumbai,9.10685E+11,Mazaa,Cold Drink,7,20,140
5896,28-09-2022,Michael Rogers,Kolkata,9.17782E+11,Hair Gel,Cosmetics,7,150,1050
3551,28-07-2023,Marilyn Romero,Mumbai,9.14707E+11,Lipstick,Beauty,5,40,200
6554,13-09-2023,Thomas Powers,Hyderabad,9.15454E+11,Face Cream,Cosmetics,8,100,800
5034,08-11-2022,Joseph Diaz,Pune,9.10352E+11,Hair Gel,Cosmetics,3,150,450
7013,14-05-2022,Jerome Johnson,Hyderabad,9.11383E+11,Sugar,Grocery,6,30,180
1363,26-02-2022,Charles Wells,Hyderabad,9.11392E+11,Lipstick,Beauty,2,40,80
2642,19-05-2023,Bobby Harper,Hyderabad,9.15309E+11,Bath Soap,Cosmetics,2,80,160
6233,21-04-2023,Eric Adams,Delhi,9.16467E+11,Hair Gel,Cosmetics,3,150,450
3856,05-12-2023,Dillon Garcia,Delhi,9.13076E+11,Rice,Grocery,4,100,400
3264,26-03-2023,Shawn Williams,Jaipur,9.15891E+11,Bath Soap,Cosmetics,5,80,400
9765,26-10-2023,Megan Miller,Lucknow,9.18695E+11,Wheat,Grocery,8,120,960
9112,04-11-2023,Shelby Lee,Pune,9.17054E+11,Perfume,Beauty,10,80,800
7248,18-01-2023,Nicole Flores,Hyderabad,9.12445E+11,Sprite,Cold Drink,7,30,210
9490,03-04-2022,Jennifer Davis,Delhi,9.13841E+11,Mazaa,Cold Drink,6,20,120
7042,11-10-2022,Robin Wallace,Jaipur,9.10258E+11,Mazaa,Cold Drink,6,20,120
